"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @Sassy4Trump: NO To Mail In Voting!! Make Voter ID Required!! #TRUMP 
#MAGAROLLERCOASTER 
<U+0001F5F3>@POLITICALWAROOM 
<U+2705>@KiltyJeremy 
<U+0001F5F3>@titan428・",FALSE,0,NA,2020-05-05 22:59:43,FALSE,NA,"1257807214364016642",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","keithm79",204,TRUE,FALSE,NA,NA
"RT @socalaura: @LeeHolly81 @realDonaldTrump #Trump will address West Point  cadets in person, endangering them &amp; families https://t.co/Zhpm・",FALSE,0,NA,2020-05-05 22:59:43,FALSE,NA,"1257807214070415360",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bill_bodyman",41,TRUE,FALSE,NA,NA
"RT @Stonekeeper3: @bcn4eva2 @_ItsJustAsia_ @markkirin_ @tracied51 @RealWolf72 @Sassy4Trump @RampageRantz @BarbBoo66 @NJ_2_FL @Stevegaston18・",FALSE,0,NA,2020-05-05 22:59:42,FALSE,NA,"1257807211419615238",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Stonekeeper3",1,TRUE,FALSE,NA,NA
"RT @NatHale1776: . @TheBeatWithAri @maddow @ChrisCuomo 

#trump/his sycophants were warned by govt experts to prepare for the onslaught of・",FALSE,0,NA,2020-05-05 22:59:42,FALSE,NA,"1257807208575897600",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MHWills",10,TRUE,FALSE,NA,NA
"RT @TheOUTFront: @Amy_Siskind @DanSkinnerArt ""will some people be badly affected? Yes.￣ - #Trump
For the first in my life, as an #American・",FALSE,0,NA,2020-05-05 22:59:41,FALSE,NA,"1257807206524780544",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","DanSkinnerArt",1,TRUE,FALSE,NA,NA
"RT @IcemanCT: ""Dr. Rick Bright"" punkd #Trump on his first outing with a #Whistleblower complaint. #DrFauci on the left, Americans on the ri・",FALSE,0,NA,2020-05-05 22:59:35,FALSE,NA,"1257807180083978241",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Jeronnamoe",21,TRUE,FALSE,NA,NA
"RT @deAdder: Cartoon for @chronicleherald Keep in mind I drew this Friday. It would have been a more fresher joke on Friday than today. #sh・",FALSE,0,NA,2020-05-05 22:59:35,FALSE,NA,"1257807179970760705",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dianereddyoutl1",286,TRUE,FALSE,NA,NA
"#Trump looks like a tiny coronavirus https://t.co/FMaZHPiVVX",FALSE,0,NA,2020-05-05 22:59:34,FALSE,NA,"1257807178691420160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Coronabeus",0,FALSE,FALSE,NA,NA
"RT @LuBonLez: #Trump just landed in #Arizona where today's death toll escalates. He is not wearing a mask, nor are any of the #Republicans・",FALSE,0,NA,2020-05-05 22:59:34,FALSE,NA,"1257807174815764481",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ljall00",3,TRUE,FALSE,NA,NA
"RT @Laurie_Garrett: Two separate models predict US #COVID19 death toll will nearly 2X by late June, nearing 135,000 souls, but the @WhiteHo・",FALSE,0,NA,2020-05-05 22:59:27,FALSE,NA,"1257807148584701952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","beldecam",176,TRUE,FALSE,NA,NA
