"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@OliviaMesser Yeah as long as #trump is happy let. Hundreds of people die that is  how Rep. Govs think,・ https://t.co/FWcNEjn3Jo",FALSE,0,"OliviaMesser",2020-05-06 00:00:30,TRUE,"1257761195899133953","1257822510701326341","293065451","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JeTheCryptoGirl",0,FALSE,FALSE,NA,NA
"#Trump personally attacking people again! I suppose he considers this to be a smart formula for winning elections,・ https://t.co/4QSHbdBUwQ",FALSE,0,NA,2020-05-06 00:00:29,TRUE,NA,"1257822506641129477",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FoxmanMusic",0,FALSE,FALSE,NA,NA
"RT @Ruptly: #Venezuela armed raid 'has nothing to do with our government', says #Trump https://t.co/7OBf7uzfrP",FALSE,0,NA,2020-05-06 00:00:28,FALSE,NA,"1257822502136487938",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","codelpeando",2,TRUE,FALSE,NA,NA
"RT @ArthurCaplan: It¨s over #trump has gone all in on economy.  Hundreds of thousands of deaths deemed tolerable along with overwhelmed hea・",FALSE,0,NA,2020-05-06 00:00:23,FALSE,NA,"1257822481966129153",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ward_mcpherson",3,TRUE,FALSE,NA,NA
"The #Trump Administration is expected to propose the #ArtemisAccords to American Close Allies like the #UAE,・ https://t.co/bAf7RPpP5c",FALSE,0,"Deven_Intel",2020-05-06 00:00:23,TRUE,"1257822008600981504","1257822481450074112","4324283735","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Deven_Intel",0,FALSE,FALSE,NA,NA
"RT @jo_jlsr3353: @Marco73838565 @gtconway3d And he STILL has the gall to keep blaming #Obama. #Trump takes NO #responsibility for ANYTHING!・",FALSE,0,NA,2020-05-06 00:00:17,FALSE,NA,"1257822454665404419",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fkoed",8,TRUE,FALSE,NA,NA
"RT @RichardAngwin: Thank You Governor Whitmer.
You make us proud.

#Resist #Trump #Whitmer #MichiganProtest #NotMeUs #MichiganTerrorists #M・",FALSE,0,NA,2020-05-06 00:00:11,FALSE,NA,"1257822433140146178",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","PleaseReadToday",166,TRUE,FALSE,NA,NA
"RT @NatHale1776: . @TheBeatWithAri @maddow @ChrisCuomo 

#trump/his sycophants were warned by govt experts to prepare for the onslaught of・",FALSE,0,NA,2020-05-06 00:00:10,FALSE,NA,"1257822428337758208",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","chickilopiccolo",12,TRUE,FALSE,NA,NA
"RT @Mindcite_US: Your daily reminder: America's second worst virus CAN be annihilated November 3, 2020  <U+0001F9A0> <U+2622><U+FE0F> 

#Coronavirus #Trump #VoteBlu・",FALSE,0,NA,2020-05-06 00:00:10,FALSE,NA,"1257822428115488768",NA,"<a href=""https://github.com/Stup1dTwitB0ts"" rel=""nofollow"">$tup!dTwitB0t$</a>","russ30327",18,TRUE,FALSE,NA,NA
"Watch ""Trump fan confronted while buying out ENTIRE stock at Dollar Tree store"" on YouTube https://t.co/VkgbU3cB9E.・ https://t.co/J8Daoy3w9z",FALSE,0,NA,2020-05-06 00:00:10,TRUE,NA,"1257822425724719104",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","VictorK43995989",0,FALSE,FALSE,NA,NA
