"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @alexmjordan: <U+0001F1FA><U+0001F1F8>#JordansViewExpress 450<U+0001F1FA><U+0001F1F8>
""We're Gonna Do it AGAIN... We're gonna build the greatest economy in the world again, and it'¡¦",FALSE,0,NA,2020-05-05 19:57:42,FALSE,NA,"1257761407778672649",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MolonlabeBerni1",135,TRUE,FALSE,NA,NA
"RT @TheDailyEdge: Dear #MAGA voters:

In 2016, your vote may have been influenced by reality TV.

In 2020, it should be based on observed r¡¦",FALSE,0,NA,2020-05-05 19:57:40,FALSE,NA,"1257761400644083713",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","birdiealways",19,TRUE,FALSE,NA,NA
"RT @pollsofpolitics: How did @realDonaldTrump handle the #coronavirus Pandemic in the crucial first days &amp; weeks??

Please Vote and Retweet¡¦",FALSE,0,NA,2020-05-05 19:57:40,FALSE,NA,"1257761400602025984",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","KenSGz",67,TRUE,FALSE,NA,NA
"RT @pollsofpolitics: How did @realDonaldTrump handle the #coronavirus Pandemic in the crucial first days &amp; weeks??

Please Vote and Retweet¡¦",FALSE,0,NA,2020-05-05 19:57:39,FALSE,NA,"1257761397188018177",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","loriranco",67,TRUE,FALSE,NA,NA
"RT @alexmjordan: <U+0001F1FA><U+0001F1F8>#JordansViewExpress 446<U+0001F1FA><U+0001F1F8>
His enemies are willing to let America fail to see #Trump lose. But unlike them, #Trump loves¡¦",FALSE,0,NA,2020-05-05 19:57:39,FALSE,NA,"1257761396307251201",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","KathiAngelone",176,TRUE,FALSE,NA,NA
"@funder #trump 
How Americans speak to each other over the red and blue divide is like they are from planets? 

USA¡¦ https://t.co/kxFcywSSV1",FALSE,0,"funder",2020-05-05 19:57:38,TRUE,"1257758947873902592","1257761393371164674","14247236","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Shirley2gawd",0,FALSE,FALSE,NA,NA
"#Fixedit #RealityWinner #tRump I do love playing with Photoshop. https://t.co/lCwzS6XtSp",FALSE,0,NA,2020-05-05 19:57:37,FALSE,NA,"1257761388933648389",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","KelliJaeBaeli",0,FALSE,FALSE,NA,NA
"RT @SlyngCartoons: Honest Abe isn¡¯t lying. #HonestAbe #AbrahamLincoln #LincolnMemorial #Lincoln #TrumpIsALoser #Trump #NotMyPresident #Trum¡¦",FALSE,0,NA,2020-05-05 19:57:33,FALSE,NA,"1257761372370337793",NA,"<a href=""https://script.google.com/macros/s/AKfycbx4vGUVr8-ffs5hEehcDk9bs6qgNF12LQGYA-DNXR98KM8VKVBF/exec"" rel=""nofollow"">JGio Bot</a>","jgionova",3,TRUE,FALSE,NA,NA
"#Resisters ADD @PPersnickety @msppalt @MsPP01 @RosannaPhillip @judizydeco @TheElfCall @DebbieDoesTwitt¡¦ https://t.co/pyWUQ6hiBO",FALSE,0,"PPersnickety",2020-05-05 19:57:31,TRUE,"1257761352728424455","1257761360403992580","889784361679290370","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","PPersnickety",0,FALSE,FALSE,NA,NA
"RT @RichforGA: Honored to stand with these GOP Congressmen to support President Trump and KAG!  #MondayMotivation #KAG #Trump2020 #Trump #G¡¦",FALSE,0,NA,2020-05-05 19:57:30,FALSE,NA,"1257761358512340993",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","monica_sassy",267,TRUE,FALSE,NA,NA
