"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"NOW: POTUS about 30 min out - was supposed to land around 11:40a will now happen closer to 12:30p. Pres. #Trump wil・ https://t.co/ZQK70tqAR4",FALSE,0,NA,2020-05-05 18:56:56,TRUE,NA,"1257746117221068800",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","acarrillonews",0,FALSE,FALSE,NA,NA
"RT @Mysterion_NY: @jennyrachelpal The enemy of my enemy is my friend. Many wars were fought by old combatants. I would rather be in the sam・",FALSE,0,NA,2020-05-05 18:56:50,FALSE,NA,"1257746092617281538",NA,"<a href=""http://www.theawkwardrepublican.com"" rel=""nofollow"">Republican Tweets</a>","TheAwkwardGOP",1,TRUE,FALSE,NA,NA
"RT @AndyOstroy: @realDonaldTrump A sociopath...alone in a house he doesn¨t belong in...in a job he¨s not qualified for...during a national・",FALSE,0,NA,2020-05-05 18:56:44,FALSE,NA,"1257746066054754309",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IrishDeDe",1444,TRUE,FALSE,NA,NA
"#Trump, aka #FascistDon, doesn't want to be held accountable, but wants everyone else held accountable. Same goes f・ https://t.co/w8CMmcNpmC",FALSE,0,NA,2020-05-05 18:56:43,TRUE,NA,"1257746060870590464",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DonLittleHands",0,FALSE,FALSE,NA,NA
"RT @Path_ology: #China hinting they could go to war with #Trump¨s US?",FALSE,0,NA,2020-05-05 18:56:41,FALSE,NA,"1257746052259684352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RedStateBlues_",1,TRUE,FALSE,NA,NA
"While #LindseyGraham  is concerned about everything #Trump,  SC has to deal with the current crisis.  Where's Linds・ https://t.co/jvrC97xzjZ",FALSE,0,NA,2020-05-05 18:56:40,TRUE,NA,"1257746048283525123",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GeneKelsey",0,FALSE,FALSE,NA,NA
"RT @WonderWoman2KAG: I was going to ask when our murder hornet stimulus checks will arrive, &amp; then I saw this video. The media won't show u・",FALSE,0,NA,2020-05-05 18:56:37,FALSE,NA,"1257746034773688320",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","GinterKenney",12,TRUE,FALSE,NA,NA
"RT @Stonekeeper3: @Fly17Q @DeplrbleRzistr @RedDragonFly19 @TexanAlliKat @MaysPatriot @floydddunagan @tammy_maga @stlpcs @MelanieMetz6 @Garn・",FALSE,0,NA,2020-05-05 18:56:24,FALSE,NA,"1257745980386095104",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","AskmoreNorman",1,TRUE,FALSE,NA,NA
"RT @JackLeeRoberts: Get ready for more #Trump rage tweets!
His day was already off to a bad start because of @TheRickWilson and the #Lincol・",FALSE,0,NA,2020-05-05 18:56:23,FALSE,NA,"1257745978033082369",NA,"<a href=""http://www.theawkwardrepublican.com"" rel=""nofollow"">Republican Tweets</a>","TheAwkwardGOP",2,TRUE,FALSE,NA,NA
"RT @JackLeeRoberts: Get ready for more #Trump rage tweets!
His day was already off to a bad start because of @TheRickWilson and the #Lincol・",FALSE,0,NA,2020-05-05 18:56:18,FALSE,NA,"1257745957174669312",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TearsInHeaven09",2,TRUE,FALSE,NA,NA
"RT @Ih8uJ: The owner had put a Trump flag on his dock and the people across from his house complained to the club. Admirals told him that h・",FALSE,0,NA,2020-05-05 18:56:17,FALSE,NA,"1257745953152536577",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","JamesCanby",297,TRUE,FALSE,NA,NA
