"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @alexmjordan: <U+0001F1FA><U+0001F1F8>#JordansViewExpress 450<U+0001F1FA><U+0001F1F8>
""We're Gonna Do it AGAIN... We're gonna build the greatest economy in the world again, and it'¡¦",FALSE,0,NA,2020-05-05 17:56:17,FALSE,NA,"1257730854379573248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sthpaw662",91,TRUE,FALSE,NA,NA
"RT @mterr337: @joelockhart @Diana80582015 #trump doesn't want massive testing because it will be very clear the number of actual cases and¡¦",FALSE,0,NA,2020-05-05 17:56:16,FALSE,NA,"1257730850105352192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rohaniroop",47,TRUE,FALSE,NA,NA
"Roughly 10,000 Americans Are Dying From #COVID19 EVERY WEEK
DURING THE LOCKDOWN.
https://t.co/6pB07fP6Ad
#resist¡¦ https://t.co/7v3xHB0bdy",FALSE,0,NA,2020-05-05 17:56:15,TRUE,NA,"1257730844967309313",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","saveourbluworld",0,FALSE,FALSE,NA,NA
"RT @Laurie_Garrett: This should make the #GOP &amp; #Trump nervous. Poll shows public assessment of:
- Trump¡¯s handling of #COVID19 : Good = 44¡¦",FALSE,0,NA,2020-05-05 17:56:13,FALSE,NA,"1257730837241610242",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","sleeperawake",25,TRUE,FALSE,NA,NA
"RT @donnasfineart: @binbing59 @realDonaldTrump #Resisters know EXACTLY WHY #Trump won¡¯t ALLOW #DrFauci to appear before the House..SPITE¡¦",FALSE,0,NA,2020-05-05 17:56:11,FALSE,NA,"1257730828458754053",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Cmm09672",2,TRUE,FALSE,NA,NA
"RT @MarthaMariposa5: @CNN We imagine #Trump https://t.co/zpDef3awCN",FALSE,0,NA,2020-05-05 17:56:10,FALSE,NA,"1257730823664668683",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GregCutts1",1,TRUE,FALSE,NA,NA
"How can you tell the #GOP has been fully compromised? #Trump has told us. https://t.co/izBraiBj77",FALSE,0,NA,2020-05-05 17:56:06,FALSE,NA,"1257730806795186178",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Alphorizons",0,FALSE,FALSE,NA,NA
"RT @CuervoNica: <U+0001F525><U+26A0><U+FE0F> #TRUMP IS A MENACE! <U+26A0><U+FE0F><U+0001F525>

REPUBLICANS ARE TURNING INTO DEMS BECAUSE OF @realDonaldTrump ARROGANCE AND EGOCENTRIC WAY OF¡¦",FALSE,0,NA,2020-05-05 17:56:04,FALSE,NA,"1257730797345353728",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","gerardo71984563",23,TRUE,FALSE,NA,NA
"RT @AndyOstroy: @realDonaldTrump A sociopath...alone in a house he doesn¡¯t belong in...in a job he¡¯s not qualified for...during a national¡¦",FALSE,0,NA,2020-05-05 17:56:02,FALSE,NA,"1257730791892594689",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LuckyHoliday2",1390,TRUE,FALSE,NA,NA
"RT @Americas1776: MUST WATCH:

Watch as a strong, intelligent, patriotic African American spit such amazing arguments for his POTUS! 

This¡¦",FALSE,0,NA,2020-05-05 17:55:53,FALSE,NA,"1257730751514247168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","IreneVMP",637,TRUE,FALSE,NA,NA
"RT @KayRonDeeDee: Our neighbor cut down our Trump 2020 flag in our front yard last night. It¡¯s being replaced immediately. We will win 2020¡¦",FALSE,0,NA,2020-05-05 17:55:52,FALSE,NA,"1257730746036469768",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BxBombers_21",12339,TRUE,FALSE,NA,NA
"@Ibishblog @NormOrnstein @jameshohmann ""The moral of this story, I¡¯d argue, is that observers trying to understand¡¦ https://t.co/dEc8Dp0RWS",FALSE,0,"Ibishblog",2020-05-05 17:55:51,TRUE,"1257699315469910021","1257730744765558786","43694024","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","mpondfield",0,FALSE,FALSE,NA,NA
"RT @IAMTRUMP8: Wonder who is releasing the Chinese MURDER <U+0001F41D> HORNETS? #MAGA #QANON #Trump  #KAG #MurderHornets #TrumpPressBriefing #Trump202¡¦",FALSE,0,NA,2020-05-05 17:55:48,FALSE,NA,"1257730729573834752",NA,"<a href=""https://ctrlq.org"" rel=""nofollow"">LA AreaNotice Tweets</a>","memedrome",1,TRUE,FALSE,NA,NA
"#Trump makes me sick https://t.co/119S0D7NNq",FALSE,0,NA,2020-05-05 17:55:48,FALSE,NA,"1257730729225515008",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TonerBuyer",0,FALSE,FALSE,NA,NA
"RT @mterr337: @cpalimeno Exactly. Just made a similar point earlier. The numbers are way underreported because we don't know whose been inf¡¦",FALSE,0,NA,2020-05-05 17:55:45,FALSE,NA,"1257730720291831810",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","leasemolina1",19,TRUE,FALSE,NA,NA
"Government models now project 135,000 #American deaths. Actual number now stands at 71,136. #Trump Dr.#Fauci to Chr¡¦ https://t.co/T3fQn55naH",FALSE,0,NA,2020-05-05 17:55:45,TRUE,NA,"1257730719595585538",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FredinToronto",0,FALSE,FALSE,NA,NA
"RT @CuervoNica: <U+0001F525><U+26A0><U+FE0F> #TRUMP IS A MENACE! <U+26A0><U+FE0F><U+0001F525>

REPUBLICANS ARE TURNING INTO DEMS BECAUSE OF @realDonaldTrump ARROGANCE AND EGOCENTRIC WAY OF¡¦",FALSE,0,NA,2020-05-05 17:55:44,FALSE,NA,"1257730715254493185",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PabloRodAgreda",23,TRUE,FALSE,NA,NA
"RT @CuervoNica: <U+0001F525><U+26A0><U+FE0F> #TRUMP IS A MENACE! <U+26A0><U+FE0F><U+0001F525>

REPUBLICANS ARE TURNING INTO DEMS BECAUSE OF @realDonaldTrump ARROGANCE AND EGOCENTRIC WAY OF¡¦",FALSE,0,NA,2020-05-05 17:55:41,FALSE,NA,"1257730703682416640",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MiguelNeira13",23,TRUE,FALSE,NA,NA
"RT @MixedPie: @realDonaldTrump An I d i o t, M o r o n! T r u m p  #Trump Is  t h e  W o r s t  P r e s I d e n t Ev er   

#ImpeachedTrump¡¦",FALSE,0,NA,2020-05-05 17:55:41,FALSE,NA,"1257730701128015877",NA,"<a href=""http://www.theawkwardrepublican.com"" rel=""nofollow"">Republican Tweets</a>","TheAwkwardGOP",1,TRUE,FALSE,NA,NA
"@realDonaldTrump An I d i o t, M o r o n! T r u m p  #Trump Is  t h e  W o r s t  P r e s I d e n t Ev er¡¦ https://t.co/lMwb8AFxL3",FALSE,0,"realDonaldTrump",2020-05-05 17:55:39,TRUE,"1257725719469158401","1257730692823252993","25073877","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MixedPie",1,FALSE,FALSE,NA,NA
