"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @AndyOstroy: @realDonaldTrump Dear @TheRickWilson @gtconway3d @jwgop @SteveSchmidtSES: huge congratulations. Not just on creating an inc¡¦",FALSE,0,NA,2020-05-05 15:54:53,FALSE,NA,"1257700299776700416",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AbacoBum",580,TRUE,FALSE,NA,NA
"RT @chelajimbitono: ""STOP LYING! Data shows that 25,000 Italians Did NOT DIE of #COVID19 "" Vittorio Sgarbi-Italian Parlament.   #Corona  #C¡¦",FALSE,0,NA,2020-05-05 15:54:53,FALSE,NA,"1257700299550199812",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","silkigurl",2,TRUE,FALSE,NA,NA
"RT @iPicNews: @JoyceWhiteVance Why did Justice Kennedy retire so abruptly? What role did his son at #DeutscheBank play? Who paid off Brett¡¦",FALSE,0,NA,2020-05-05 15:54:50,FALSE,NA,"1257700288439488512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sksnky",31,TRUE,FALSE,NA,NA
"4 YRS &amp; LEFTIST STILL DOWN ON THR HANDS &amp; KNEES LOOKING 4-A NEEDLE N-A HAYSTACK ON #TRUMP BUT HERE WE HAVE A WHOLE¡¦ https://t.co/HVjTL2AkxI",FALSE,0,NA,2020-05-05 15:54:50,TRUE,NA,"1257700287315415041",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bunkerhillexpre",0,FALSE,FALSE,NA,NA
"RT @badseedbook: <U+0001F534>Interior secretary relaxed rules for Trump interview at Lincoln Memorial.
#tuesdayvibes #Trump https://t.co/Pj4qnyowdd ht¡¦",FALSE,0,NA,2020-05-05 15:54:49,FALSE,NA,"1257700284152889345",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","badseedbook",0,TRUE,FALSE,NA,NA
"#Trump Expresses Wish That #WomenReporters at White House Were More Like ¡¯50s Housewives #SmartNews  https://t.co/yuYyZx16Zo",FALSE,0,NA,2020-05-05 15:54:49,FALSE,NA,"1257700283150409728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Wtfenway94",0,FALSE,FALSE,NA,NA
"RT @Rob_Rogers: This cartoon illustrates the health risk of workers in meat processing plants, but it could just as easily be a chart for a¡¦",FALSE,0,NA,2020-05-05 15:54:47,FALSE,NA,"1257700278461247498",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RealGene",23,TRUE,FALSE,NA,NA
"RT @SnickOld: @matthewamiller Trump is covertly telling red states to rig their virus death figures #TrumpOwnsEveryDeath #TrumpClassGenocid¡¦",FALSE,0,NA,2020-05-05 15:54:46,FALSE,NA,"1257700272392089604",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","peaceterry",5,TRUE,FALSE,NA,NA
"The last line of this ad is shattering:
¡°Americans are asking, if we have another four years of #Trump, will there¡¦ https://t.co/MW887pnH57",FALSE,0,NA,2020-05-05 15:54:45,TRUE,NA,"1257700268336132096",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gringanovelera",0,FALSE,FALSE,NA,NA
"@thehill #CovidiotInChief #Trump think a few thousand tests per day is enough.
The rate his admin is shooting for w¡¦ https://t.co/bfng3kp8k3",FALSE,0,"thehill",2020-05-05 15:54:42,TRUE,"1257695296894746634","1257700254788521986","1917731","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ManySoulsWithin",0,FALSE,FALSE,NA,NA
"RT @Emolclause: @LisaBloom How about people who BELIEVE little #KatieJohnson and STILL wonder why you ABRUPTLY dropped her rape lawsuit #Li¡¦",FALSE,0,NA,2020-05-05 15:54:40,FALSE,NA,"1257700248987844610",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JoAnnGillum",16,TRUE,FALSE,NA,NA
"@BillKristol @DevinCow It is so odd that people who support #Trump also want validation through Lincoln. <U+0001F914>",FALSE,0,"BillKristol",2020-05-05 15:54:40,FALSE,"1257655265849155586","1257700248136364033","2800581040","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Gary_An",0,FALSE,FALSE,NA,NA
